Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Benin,BEN,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Benin,BEN,17015312596.6121,17922762308.1962,18754921695.056,19400761822.8883,20260154372.6862,20607244157.9321,21419940047.2018,22702212482.9423,23813843817.0103,24366156424.6825,24881272742.8566,25618692190.0679,26851264681.8907,28782255584.8599,30612139032.0882,31156469106.8687,32196993426.2032,34023063767.8647,36301676624.9392,38794036239.5523
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,2478.21823775079,2532.63405180985,2570.78730365107,2579.69780730152,2614.21245549017,2581.64225152969,2606.8174487853,2685.13026141894,2738.19438467667,2724.08476657468,2704.7054840378,2707.86970043194,2759.84825577488,2876.90390883027,2975.85478222107,2945.97022066349,2961.4404159762,3044.51715620319,3160.7806702321,3287.30953781986
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,1420,1740,2180.0000667572,2440.00005722046,2650.00009536743,2900.00009536743,3470.00002861023,4000,4019.99998092651,4420.00007629395,4829.99992370605,4650.00009536743,4440.00005722046,4679.99982833862,5190.00005722046,5510.00022888184,6739.99977111816,6869.99988555908,7420.00007629395,7300.00019073486
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Benin,BEN,0.2068178223365,0.245876342852233,0.298818442684047,0.324444104560947,0.341935363814366,0.36330732621319,0.422300744163302,0.473104595146657,0.462232870037997,0.494146662536176,0.525042565810885,0.4915002792427,0.456355652470422,0.467785082367023,0.504528170142496,0.520992816434272,0.619937006590663,0.614754528204892,0.64605811617413,0.618583745834187
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Benin,BEN,7030.00020980835,6500,7530.00020980835,7500,7590.00015258789,8619.99988555908,8909.99984741211,9649.99961853027,9399.99961853027,10029.9997329712,10479.9995422363,10550.0001907349,10529.9997329712,11159.9998474121,11699.9998092651,12119.9998855591,13819.9996948242,13970.0002670288,15090.0001525879,15020.0004577637
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,Benin,BEN,43.1018598927466,..,..,..,..,35.6315667810652,..,..,..,..,34.4369028675816,35.1983084859327,37.0750035002077,33.7469602416285,33.4417386620577,48.4068801790228,45.1191538291513,45.2199992457883,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Benin,BEN,39.776293240581,..,..,..,..,34.3288088985177,..,..,..,..,32.3929691623113,32.5808462339065,31.9920004396705,31.4432986543429,29.6604556737574,40.4706826318169,38.4477036582204,38.9999587632257,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Benin,BEN,36.6721355090458,36.2287158566868,35.7852962043278,35.3418765519688,34.8984568996098,34.4550372472508,34.0116175948918,33.5681979425328,33.1247782901738,32.6813586378148,32.2379389854558,31.7945193330968,31.3510996807378,30.9076800283789,30.4642603760199,30.0208407236609,29.5774210713019,29.1340014189429,28.6905817665839,28.2471621142249
Forest area (sq. km),AG.LND.FRST.K2,Benin,BEN,41351.5,40851.5,40351.5,39851.5,39351.5,38851.5,38351.5,37851.5,37351.5,36851.5,36351.5,35851.5,35351.5,34851.5,34351.5,33851.5,33351.5,32851.5,32351.5,31851.5
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Benin,BEN,38.333,38.65,39.036,39.536,40.039,40.543,41.049,41.558,42.069,42.58,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/20/2022,,,,,,,,,,,,,,,,,,,,,,,
