Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","24110","Alcool non alimentaire","2019","2019","tonnes","3","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F1232","Aliments, préparations nda","2019","2019","tonnes","796","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01371","Amandes non décortiquées","2019","2019","tonnes","213","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21422","Amandes, écalées","2019","2019","tonnes","159","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01318","Ananas","2019","2019","tonnes","904","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21491","Ananas en boîte","2019","2019","tonnes","15","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","0142","Arachides non décortiquées","2019","2019","tonnes","7262","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21495.01","Arachides préparées","2019","2019","tonnes","1952","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01312","Bananes","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","22241.01","Beurre de lait de vache","2019","2019","tonnes","11","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","24310.01","Bière d'orge","2019","2019","tonnes","645","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","2413","Boissons alcoolisées distillées","2019","2019","tonnes","15","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23912.02","Café, extraits","2019","2019","tonnes","3","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01199.90","Ceréales nda","2019","2019","tonnes","294","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23140.03","Céréales pour petit déjeuner","2019","2019","tonnes","5","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","24230.03","Cidre, etc.","2019","2019","tonnes","2","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01443","Colza","2019","2019","tonnes","2","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01699","Epices nda","2019","2019","tonnes","19","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23110","Farine de blé","2019","2019","tonnes","2437","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23120.90","Farine de céréales nda","2019","2019","tonnes","16","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23170.04","Farine de fruits","2019","2019","tonnes","1045","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21920","Farine de graines oléagineuses","2019","2019","tonnes","85","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23120.03","Farine de maïs","2019","2019","tonnes","23","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21392","Farine de pommes de terre","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","22251.01","Fromage, au lait de vache entier","2019","2019","tonnes","4","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01359.90","Fruits frais nda","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F0623","Fruits préparés nda","2019","2019","tonnes","3","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21419.99","Fruits secs nda","2019","2019","tonnes","4","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","0143","Graines de coton","2019","2019","tonnes","130889","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01449.90","Graines oleagineuses nda","2019","2019","tonnes","324","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01701","Haricots secs","2019","2019","tonnes","399","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","2166","Huile de coco","2019","2019","tonnes","49","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","2168","Huile de coton","2019","2019","tonnes","20260","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","2165","Huile de palme","2019","2019","tonnes","9225","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21691.14","Huile de palmiste","2019","2019","tonnes","1413","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21631.01","Huile de tournesol","2019","2019","tonnes","1702","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","2167","Huile d'olives vierge","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F1275","Huile et graisse végétale hydrogénée","2019","2019","tonnes","1","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21691.90","Huile végétale nda","2019","2019","tonnes","5041","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01540","Ignames","2019","2019","tonnes","67","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21433","Jus d'ananas","2019","2019","tonnes","4533","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21433.01","Jus d'ananas concentré","2019","2019","tonnes","345","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21439.03","Jus de citron concentré","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21439.90","Jus de fruits nda","2019","2019","tonnes","154","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21432","Jus de pamplemousse","2019","2019","tonnes","1","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21435.01","Jus de pomme","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21431.01","Jus d'orange","2019","2019","tonnes","51","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","22211","Lait, entier en poudre de vache","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","02211","Lait, entier frais de vache","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F0475","Légumes conservés (surgelés)","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21393.90","Légumes déshydratés","2019","2019","tonnes","5","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F0472","Légumes en conserve nda","2019","2019","tonnes","145","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01290.90","Légumes frais nda","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F0473","Légumes surgelés","2019","2019","tonnes","23","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01990.01","Légumes, produits vegetaux frais ou secs nda","2019","2019","tonnes","517","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","0112","Maïs","2019","2019","tonnes","2","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23999.01","Malt, extrait","2019","2019","tonnes","206","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21700.02","Margarine et graisses alimentaire compactes","2019","2019","tonnes","1377","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01372","Noix d'acajou non décortiquées","2019","2019","tonnes","92393","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21424","Noix d'acajou, écalées","2019","2019","tonnes","1129","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01499.01","Noix de karite","2019","2019","tonnes","79079","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01379.02","Noix de kola","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21429.01","Noix du brésil, écalées","2019","2019","tonnes","15","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","0231","Œufs de poule en coquille","2019","2019","tonnes","3","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01253.01","Oignons, echalotes, frais","2019","2019","tonnes","1","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01491.02","Palmistes","2019","2019","tonnes","182","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01317","Papayes","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23710","Pâtes alimentaires","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F0022","Pâtisseries","2019","2019","tonnes","33","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01652","Piments doux et épicé","2019","2019","tonnes","12","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01231","Piments forts, piments doux frais","2019","2019","tonnes","42","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21313","Pommes de terre surgelées","2019","2019","tonnes","3","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","F0666","Produits cacaotés nda","2019","2019","tonnes","1","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","21412","Prunes séchées","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01599.10","Racines et tubercules nda","2019","2019","tonnes","177","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23161.02","Riz, blanchi","2019","2019","tonnes","221","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","23161.03","Riz, brisures","2019","2019","tonnes","1670","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","01444","Sésame","2019","2019","tonnes","6492","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","39120.01","Son de blé","2019","2019","tonnes","1240","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","39120.13","Son de céréales nda","2019","2019","tonnes","177","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5910","Exportations - Quantité","2351f","Sucre Brut Centrifugé","2019","2019","tonnes","0","","Donnée officielle"
