Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1980","1980","1000 US$","312882","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1981","1981","1000 US$","300056","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1982","1982","1000 US$","302759","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1983","1983","1000 US$","279461","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1984","1984","1000 US$","369234","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1985","1985","1000 US$","338360","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1986","1986","1000 US$","398276","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1987","1987","1000 US$","376026","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1988","1988","1000 US$","415478","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1989","1989","1000 US$","455039","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1990","1990","1000 US$","471352","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1991","1991","1000 US$","530569","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1992","1992","1000 US$","506832","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1993","1993","1000 US$","533975","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1994","1994","1000 US$","563427","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1995","1995","1000 US$","579374","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1996","1996","1000 US$","606504","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1997","1997","1000 US$","634264","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1998","1998","1000 US$","713579","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1999","1999","1000 US$","742100","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2000","2000","1000 US$","784900","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2001","2001","1000 US$","766418","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2002","2002","1000 US$","969388","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2003","2003","1000 US$","905969","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2004","2004","1000 US$","1017060","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2005","2005","1000 US$","938899","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2006","2006","1000 US$","710559","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2007","2007","1000 US$","757951","Fc","Donnée calculée"
