Variable:,tas
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1901,27.38,27.94,27.52,27.16,27.06,27.25,27.24,26.82,26.96,27.11,27.13,27.26,27.44
1902,27.46,28.02,27.62,27.28,27.11,27.34,27.32,26.86,27.08,27.20,27.26,27.39,27.54
1903,27.57,28.21,27.85,27.28,27.19,27.35,27.32,26.96,27.08,27.20,27.27,27.39,27.54
1904,27.57,28.21,27.85,27.28,27.19,27.35,27.32,26.96,27.08,27.20,27.25,27.39,27.54
1905,27.14,27.70,27.35,27.10,26.72,26.98,27.07,26.51,26.96,26.99,27.12,27.16,27.26
1906,27.86,28.43,28.00,27.58,27.55,27.75,27.65,27.28,27.34,27.48,27.56,27.74,27.91
1907,27.44,27.99,27.61,27.29,27.08,27.33,27.32,26.83,27.10,27.21,27.28,27.39,27.53
1908,27.50,28.09,27.70,27.27,27.14,27.36,27.33,26.90,27.07,27.19,27.25,27.40,27.56
1909,27.28,27.87,27.53,27.12,26.88,27.10,27.14,26.66,26.96,27.05,27.14,27.21,27.35
1910,27.68,28.25,27.84,27.38,27.35,27.56,27.48,27.09,27.14,27.33,27.35,27.54,27.72
1911,27.28,27.76,27.34,27.26,26.93,27.25,27.29,26.68,27.07,27.17,27.26,27.36,27.49
1912,27.67,28.26,27.87,27.39,27.34,27.52,27.46,27.09,27.17,27.32,27.38,27.52,27.68
1913,27.98,28.57,28.14,27.59,27.68,27.86,27.72,27.40,27.32,27.54,27.57,27.78,27.97
1914,28.25,28.85,28.41,27.80,27.97,28.11,27.92,27.68,27.52,27.72,27.77,28.01,28.20
1915,27.35,27.84,27.40,27.28,27.02,27.31,27.32,26.76,27.09,27.20,27.27,27.39,27.54
1916,27.18,27.57,27.08,27.29,26.90,27.30,27.32,26.63,27.09,27.20,27.28,27.40,27.54
1917,27.25,27.69,27.22,27.28,26.95,27.30,27.32,26.68,27.09,27.20,27.27,27.39,27.54
1918,27.20,27.61,27.12,27.28,26.92,27.29,27.32,26.63,27.09,27.20,27.27,27.39,27.54
1919,27.57,28.21,27.85,27.28,27.19,27.35,27.32,26.96,27.09,27.20,27.27,27.39,27.54
1920,27.62,28.24,27.90,27.34,27.23,27.40,27.38,27.01,27.14,27.25,27.33,27.45,27.59
1921,27.57,28.21,27.85,27.28,27.19,27.35,27.32,26.96,27.09,27.20,27.27,27.39,27.54
1922,27.42,27.95,27.53,27.29,27.07,27.34,27.33,26.82,27.10,27.21,27.28,27.40,27.54
1923,27.41,28.06,27.56,27.09,27.09,27.21,27.14,26.79,26.87,26.99,27.10,27.25,27.38
1924,27.57,28.20,27.81,27.23,27.22,27.38,27.30,27.00,27.03,27.16,27.22,27.37,27.52
1925,26.96,27.58,27.26,26.65,26.57,26.74,26.70,26.39,26.45,26.56,26.64,26.75,26.90
1926,27.58,28.19,27.70,27.40,27.24,27.43,27.43,26.95,27.20,27.31,27.38,27.51,27.64
1927,27.01,27.76,27.10,26.71,26.72,26.76,26.72,26.29,26.52,26.61,26.73,26.86,26.94
1928,26.99,27.70,27.15,26.67,26.66,26.74,26.69,26.32,26.50,26.58,26.68,26.81,26.93
1929,26.76,27.43,26.92,26.56,26.39,26.54,26.57,26.09,26.38,26.47,26.56,26.65,26.77
1930,27.76,28.49,27.82,27.52,27.46,27.54,27.51,27.01,27.33,27.40,27.54,27.67,27.74
