Variable:,hd35
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
2015,139.62,164.77,156.56,0.00,125.26,93.30,21.07,110.13,0.00,0.00,0.00,55.21,62.76
2016,136.14,163.53,158.17,0.00,119.61,86.19,21.07,105.63,0.00,0.00,0.00,53.79,61.58
2017,139.93,166.78,158.50,0.00,125.70,86.07,18.54,101.96,0.00,0.00,0.00,54.50,60.14
2018,134.68,159.64,157.15,0.00,119.97,85.91,21.49,103.37,0.00,0.00,0.00,52.38,60.75
2019,142.36,171.99,163.48,0.04,126.10,91.34,24.54,111.08,0.00,0.99,0.00,55.92,65.72
2020,144.20,174.26,170.35,0.00,126.80,91.48,19.81,106.97,0.00,0.00,0.00,58.75,64.68
2021,139.90,169.12,163.93,0.00,121.54,88.39,23.18,106.45,0.00,0.00,0.00,53.08,62.69
2022,146.70,175.60,164.95,0.04,126.24,100.04,25.80,114.60,0.00,0.99,0.00,62.99,72.61
2023,144.15,170.80,167.14,0.04,129.39,96.30,22.85,113.76,0.00,0.99,0.00,58.75,66.71
2024,147.15,174.53,163.90,0.04,129.22,96.60,24.12,113.33,0.00,0.99,0.00,65.12,73.02
2025,144.54,171.60,163.95,0.04,128.58,94.63,24.54,112.62,0.00,0.99,0.00,58.75,68.07
2026,149.34,177.84,169.50,0.04,133.42,95.73,23.28,111.95,0.00,0.99,0.00,58.75,67.05
2027,148.97,175.54,175.29,0.00,130.93,97.57,24.44,114.49,0.00,0.00,0.00,64.41,73.10
2028,152.51,183.94,174.08,0.04,134.98,100.00,27.91,118.41,0.00,0.99,0.00,65.12,76.07
2029,155.20,186.48,179.24,0.08,138.84,100.36,28.01,116.80,0.00,1.98,0.00,61.58,72.79
2030,154.46,181.92,178.31,0.08,140.56,103.20,28.43,126.95,0.00,1.98,0.00,64.41,75.48
2031,151.53,182.96,174.95,0.00,138.03,96.60,24.02,116.94,0.00,0.00,0.00,55.21,65.13
2032,157.82,183.15,182.55,0.08,145.73,107.75,28.43,131.51,0.00,1.98,0.00,67.95,78.42
2033,156.57,184.36,180.11,0.04,140.68,104.21,27.49,123.97,0.00,0.99,0.00,70.78,80.43
2034,159.34,190.51,184.78,0.08,141.94,105.47,26.75,124.88,0.00,1.98,0.00,67.24,76.48
2035,155.72,179.38,179.16,0.12,143.36,109.12,26.84,127.42,0.00,2.96,0.00,68.66,77.32
2036,160.62,189.85,186.20,0.04,146.04,104.58,26.65,126.48,0.00,0.99,0.00,67.24,76.81
2037,163.43,190.09,185.72,0.08,147.95,114.34,29.70,127.37,0.00,1.98,0.00,77.15,87.07
2038,167.81,195.65,196.35,0.16,156.54,114.45,32.84,135.18,0.00,3.95,0.00,69.36,82.31
2039,162.19,188.94,184.87,0.21,150.67,112.15,35.47,134.45,0.00,4.94,0.00,70.07,84.60
2040,162.79,194.02,188.84,0.12,144.33,108.65,31.06,128.11,0.00,2.96,0.00,69.36,81.29
2041,165.19,194.85,187.13,0.16,152.91,109.74,30.31,133.25,0.00,3.95,0.00,68.66,79.69
2042,165.81,192.40,189.42,1.16,154.11,118.20,33.84,138.47,1.00,4.95,1.00,69.66,82.72
2043,165.60,195.59,187.11,0.08,149.77,112.39,29.70,129.49,0.00,1.98,0.00,70.78,81.79
2044,164.87,192.02,189.75,1.12,150.35,115.81,32.48,135.67,1.00,3.96,1.00,73.19,84.98
2045,168.26,193.87,192.47,1.16,155.89,117.79,35.53,138.43,1.00,4.95,1.00,76.73,89.95
