Variable:,pr
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1901,1221.47,974.37,1118.27,1383.47,1281.16,1421.76,1296.76,1333.15,1459.60,1280.02,1612.84,1625.74,1368.72
1902,964.30,913.09,1008.23,800.25,1019.37,937.80,842.20,1098.59,890.30,863.66,879.53,908.51,824.42
1903,952.17,895.62,954.86,1025.96,982.39,932.18,911.21,987.06,1132.50,946.24,1134.54,1075.87,935.44
1904,904.80,849.50,853.66,995.91,938.94,958.67,801.20,911.87,1128.90,848.45,1132.08,1111.34,904.71
1905,1003.94,919.71,1052.76,935.79,1058.00,986.60,860.97,1147.24,1062.10,895.88,1042.38,1008.51,870.42
1906,1004.99,922.04,1018.07,1004.95,1044.28,1026.29,896.02,1095.37,1127.40,943.15,1136.89,1105.03,930.83
1907,946.53,818.83,830.34,1257.48,949.79,1068.72,1103.58,934.87,1422.80,1152.43,1388.04,1275.24,1126.63
1908,1035.52,867.03,995.26,1203.63,1069.88,1118.95,1077.03,1136.59,1293.70,1107.63,1333.42,1275.74,1116.51
1909,1140.01,1086.73,1135.64,1112.11,1175.27,1153.44,1049.77,1252.94,1233.00,1095.28,1218.40,1159.80,1033.33
1910,1127.44,898.47,1073.56,1243.15,1166.71,1235.43,1313.46,1333.15,1383.20,1291.79,1374.61,1303.11,1253.86
1911,1064.32,985.84,1022.12,1332.15,1034.98,1116.97,1119.80,1081.04,1513.80,1199.62,1436.02,1318.24,1135.35
1912,798.50,764.33,806.66,771.40,844.10,763.04,742.01,889.62,879.30,773.63,848.19,762.32,696.66
1913,974.48,810.73,948.08,1074.26,1039.81,1029.94,1022.09,1073.79,1223.50,1032.82,1234.12,1131.39,1007.65
1914,901.26,794.59,880.74,1075.15,890.85,933.06,962.63,1012.16,1215.60,999.21,1190.87,1060.48,950.54
1915,1015.99,755.55,886.25,1272.73,1082.98,1198.50,1146.35,1178.72,1413.00,1167.51,1448.80,1341.56,1174.72
1916,1032.39,910.81,1014.53,1188.23,1068.41,1030.66,1077.44,1150.32,1325.90,1121.06,1267.94,1149.88,1056.58
1917,1253.87,797.46,1013.75,1606.66,1397.84,1624.55,1564.22,1477.36,1755.20,1530.17,1766.43,1692.97,1593.35
1918,995.30,981.52,1034.81,1107.14,960.44,918.88,1002.26,1059.20,1224.10,1061.44,1204.46,1081.12,967.20
1919,927.78,979.46,946.42,998.58,894.98,828.75,890.25,949.23,1047.70,936.27,1106.81,978.36,871.62
1920,919.23,911.43,927.27,916.04,959.65,845.59,799.21,998.12,983.20,822.64,1042.90,950.12,814.84
