Variable:,tas
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
2015,28.16,28.30,28.38,27.41,27.75,27.72,27.12,27.49,27.41,27.37,27.41,27.84,27.55
2016,28.07,28.25,28.21,27.31,27.65,27.57,27.05,27.33,27.31,27.28,27.31,27.69,27.43
2017,28.28,28.52,28.53,27.40,27.84,27.62,27.07,27.41,27.40,27.32,27.40,27.80,27.50
2018,28.22,28.41,28.44,27.43,27.75,27.71,27.14,27.45,27.43,27.38,27.43,27.86,27.58
2019,28.27,28.43,28.43,27.46,27.85,27.81,27.17,27.55,27.46,27.44,27.46,27.91,27.61
2020,28.14,28.30,28.30,27.46,27.66,27.70,27.16,27.40,27.46,27.40,27.46,27.87,27.58
2021,28.20,28.38,28.39,27.48,27.71,27.73,27.26,27.46,27.48,27.48,27.48,27.89,27.64
2022,28.41,28.63,28.65,27.54,27.95,27.85,27.30,27.67,27.54,27.54,27.54,27.96,27.69
2023,28.28,28.44,28.45,27.62,27.78,27.87,27.36,27.52,27.62,27.61,27.62,28.04,27.76
2024,28.50,28.71,28.70,27.70,28.01,27.97,27.40,27.70,27.70,27.62,27.70,28.13,27.85
2025,28.40,28.58,28.58,27.66,27.91,27.90,27.36,27.63,27.66,27.58,27.66,28.06,27.79
2026,28.54,28.78,28.74,27.68,28.04,27.96,27.34,27.74,27.68,27.57,27.68,28.09,27.79
2027,28.52,28.74,28.76,27.74,28.03,28.01,27.50,27.76,27.74,27.72,27.74,28.17,27.91
2028,28.60,28.83,28.82,27.75,28.13,28.03,27.51,27.81,27.75,27.70,27.75,28.18,27.94
2029,28.79,29.00,29.00,27.88,28.36,28.25,27.63,28.06,27.88,27.83,27.88,28.35,28.09
2030,28.55,28.75,28.80,27.68,28.06,28.03,27.43,27.80,27.68,27.61,27.68,28.15,27.90
2031,28.61,28.80,28.85,27.71,28.15,28.12,27.52,27.90,27.71,27.71,27.71,28.23,27.99
2032,28.69,28.91,28.90,27.83,28.20,28.23,27.61,28.00,27.83,27.79,27.83,28.33,28.09
2033,28.70,28.89,28.95,27.78,28.25,28.20,27.54,27.95,27.78,27.71,27.78,28.29,28.04
