Variable:,tas
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
2015,28.21,28.43,28.43,27.35,27.77,27.67,27.05,27.44,27.35,27.27,27.35,27.80,27.51
2016,28.01,28.16,28.17,27.33,27.56,27.55,26.96,27.26,27.34,27.21,27.34,27.68,27.37
2017,27.99,28.13,28.21,27.31,27.57,27.55,27.00,27.27,27.31,27.24,27.31,27.71,27.42
2018,28.27,28.45,28.47,27.52,27.82,27.80,27.21,27.54,27.52,27.40,27.52,27.93,27.66
2019,28.46,28.69,28.69,27.55,27.99,27.87,27.31,27.67,27.55,27.54,27.55,27.98,27.72
2020,28.51,28.72,28.71,27.65,28.06,27.97,27.46,27.77,27.65,27.68,27.65,28.09,27.85
2021,28.42,28.57,28.63,27.61,27.95,27.98,27.40,27.73,27.61,27.60,27.61,28.08,27.84
2022,28.33,28.51,28.51,27.59,27.83,27.89,27.32,27.59,27.59,27.55,27.59,28.04,27.76
2023,28.44,28.62,28.65,27.55,27.97,27.98,27.32,27.69,27.55,27.50,27.55,28.06,27.81
2024,28.70,28.94,28.92,27.75,28.25,28.11,27.50,27.92,27.75,27.72,27.75,28.19,27.92
2025,28.62,28.82,28.85,27.76,28.17,28.11,27.50,27.85,27.76,27.72,27.76,28.24,27.97
2026,28.62,28.80,28.84,27.76,28.17,28.13,27.53,27.90,27.76,27.74,27.76,28.23,27.97
2027,28.48,28.69,28.76,27.60,28.04,27.89,27.34,27.75,27.60,27.56,27.60,28.04,27.77
2028,28.73,28.96,28.93,27.74,28.29,28.16,27.51,27.97,27.74,27.70,27.74,28.22,27.97
2029,28.72,28.94,28.93,27.85,28.26,28.19,27.59,27.97,27.85,27.80,27.85,28.30,28.03
2030,28.68,28.89,28.93,27.78,28.23,28.14,27.56,27.90,27.78,27.75,27.78,28.28,28.03
2031,28.88,29.07,29.06,28.01,28.44,28.37,27.76,28.11,28.01,27.98,28.01,28.48,28.22
2032,28.85,29.09,29.07,27.84,28.38,28.27,27.64,28.10,27.84,27.87,27.84,28.36,28.10
2033,28.85,29.01,29.02,27.95,28.45,28.40,27.76,28.16,27.95,27.97,27.95,28.46,28.21
2034,28.80,29.04,29.01,27.89,28.31,28.25,27.66,28.03,27.89,27.87,27.89,28.36,28.11
2035,28.74,28.97,29.01,27.80,28.27,28.16,27.54,27.95,27.80,27.73,27.80,28.29,28.02
2036,28.87,29.10,29.14,27.97,28.43,28.28,27.69,28.07,27.97,27.89,27.97,28.39,28.13
2037,28.92,29.14,29.11,28.02,28.47,28.40,27.81,28.16,28.02,27.99,28.02,28.54,28.30
2038,28.73,28.95,29.00,27.92,28.28,28.17,27.60,28.00,27.92,27.83,27.92,28.31,28.03
2039,28.85,29.04,29.06,28.04,28.36,28.36,27.80,28.06,28.04,28.00,28.04,28.50,28.24
2040,28.79,28.96,29.03,27.83,28.39,28.30,27.64,28.16,27.83,27.81,27.83,28.35,28.12
2041,28.88,29.09,29.11,27.96,28.48,28.36,27.72,28.21,27.96,27.95,27.96,28.41,28.14
2042,28.89,29.09,29.10,28.06,28.44,28.40,27.82,28.17,28.06,28.07,28.06,28.51,28.23
2043,28.98,29.14,29.07,28.20,28.54,28.59,27.92,28.24,28.20,28.08,28.20,28.66,28.41
2044,28.84,29.06,29.04,28.02,28.33,28.34,27.78,28.07,28.02,28.01,28.02,28.46,28.20
2045,28.88,29.07,29.08,28.00,28.48,28.34,27.70,28.16,28.00,27.88,28.00,28.43,28.17
2046,29.12,29.34,29.28,28.14,28.63,28.57,27.92,28.34,28.14,28.11,28.14,28.65,28.40
2047,28.97,29.16,29.17,28.06,28.52,28.49,27.84,28.25,28.06,28.03,28.06,28.56,28.31
2048,28.90,29.05,29.12,28.15,28.44,28.50,27.92,28.21,28.15,28.12,28.15,28.62,28.37
2049,29.03,29.22,29.26,28.13,28.61,28.52,27.89,28.30,28.13,28.14,28.13,28.62,28.34
2050,29.00,29.20,29.24,28.18,28.54,28.46,27.92,28.26,28.18,28.19,28.18,28.58,28.30
2051,29.07,29.29,29.36,28.25,28.60,28.52,27.99,28.31,28.25,28.24,28.25,28.65,28.37
2052,29.07,29.33,29.29,27.98,28.53,28.53,27.82,28.23,27.98,27.97,27.98,28.58,28.35
2053,28.85,29.05,29.07,27.98,28.39,28.33,27.74,28.13,27.98,27.91,27.98,28.46,28.22
2054,28.99,29.18,29.15,28.10,28.56,28.52,27.85,28.30,28.10,28.03,28.10,28.59,28.34
2055,28.93,29.18,29.17,28.05,28.42,28.37,27.81,28.14,28.05,28.02,28.05,28.48,28.23
2056,29.02,29.22,29.28,28.10,28.58,28.48,27.86,28.28,28.10,28.04,28.10,28.54,28.29
2057,29.01,29.23,29.25,28.14,28.54,28.49,27.87,28.27,28.14,28.08,28.14,28.59,28.32
2058,28.91,29.08,29.10,28.12,28.43,28.42,27.84,28.16,28.12,28.06,28.12,28.57,28.30
2059,29.03,29.20,29.29,28.25,28.60,28.52,27.95,28.37,28.25,28.18,28.25,28.62,28.34
2060,29.14,29.38,29.29,28.17,28.71,28.58,27.99,28.36,28.17,28.18,28.17,28.66,28.43
2061,29.07,29.27,29.33,28.10,28.68,28.53,27.89,28.37,28.10,28.10,28.10,28.60,28.34
2062,29.00,29.27,29.24,28.02,28.50,28.39,27.76,28.17,28.02,27.95,28.02,28.49,28.23
2063,29.06,29.30,29.25,28.17,28.63,28.46,27.92,28.26,28.17,28.12,28.17,28.59,28.34
2064,29.16,29.40,29.37,28.16,28.64,28.61,27.99,28.38,28.16,28.18,28.16,28.69,28.46
2065,28.96,29.20,29.17,28.09,28.49,28.41,27.83,28.19,28.09,28.04,28.09,28.52,28.26
2066,29.18,29.46,29.34,28.37,28.68,28.59,27.99,28.35,28.38,28.18,28.38,28.72,28.43
2067,29.11,29.32,29.26,28.16,28.64,28.58,27.93,28.37,28.16,28.13,28.16,28.65,28.39
2068,29.11,29.32,29.34,28.18,28.68,28.60,27.96,28.42,28.18,28.16,28.18,28.65,28.41
2069,29.11,29.32,29.26,28.09,28.70,28.59,27.91,28.37,28.09,28.11,28.09,28.61,28.37
2070,29.17,29.34,29.40,28.22,28.75,28.73,28.04,28.50,28.22,28.25,28.22,28.76,28.51
2071,29.18,29.40,29.47,28.16,28.79,28.64,27.92,28.45,28.16,28.09,28.16,28.66,28.41
2072,29.04,29.33,29.19,28.09,28.54,28.43,27.81,28.17,28.09,28.04,28.09,28.51,28.24
2073,29.05,29.32,29.27,28.13,28.54,28.46,27.88,28.24,28.13,28.11,28.13,28.58,28.31
2074,29.11,29.37,29.34,28.13,28.69,28.50,27.85,28.35,28.13,28.05,28.13,28.59,28.32
2075,29.09,29.26,29.33,28.19,28.67,28.58,27.95,28.36,28.19,28.14,28.19,28.67,28.42
2076,28.96,29.20,29.14,28.11,28.47,28.40,27.81,28.16,28.11,28.03,28.11,28.52,28.24
2077,29.12,29.32,29.33,28.17,28.68,28.61,27.91,28.48,28.17,28.07,28.17,28.64,28.39
2078,29.16,29.38,29.42,28.37,28.68,28.60,28.04,28.35,28.37,28.27,28.37,28.78,28.48
2079,29.30,29.61,29.57,28.19,28.81,28.65,28.01,28.40,28.19,28.21,28.19,28.70,28.46
2080,29.03,29.29,29.34,28.03,28.58,28.37,27.82,28.23,28.03,28.06,28.03,28.48,28.22
2081,29.11,29.33,29.30,28.20,28.65,28.54,27.94,28.34,28.20,28.12,28.20,28.65,28.39
2082,29.26,29.55,29.51,28.30,28.75,28.66,28.05,28.45,28.30,28.28,28.30,28.74,28.47
2083,28.98,29.23,29.14,28.07,28.53,28.40,27.83,28.21,28.07,28.03,28.07,28.55,28.29
2084,29.10,29.42,29.39,28.03,28.60,28.42,27.77,28.22,28.03,27.94,28.03,28.45,28.21
2085,29.09,29.32,29.30,27.96,28.63,28.55,27.79,28.36,27.96,27.95,27.96,28.53,28.29
2086,29.20,29.45,29.45,28.17,28.77,28.62,27.89,28.47,28.17,28.09,28.17,28.67,28.39
2087,29.04,29.31,29.23,28.05,28.54,28.49,27.78,28.25,28.05,27.95,28.05,28.52,28.27
2088,28.91,29.14,29.11,27.97,28.45,28.40,27.77,28.17,27.97,27.97,27.97,28.46,28.22
2089,28.88,29.11,29.09,27.95,28.46,28.34,27.68,28.20,27.95,27.85,27.95,28.42,28.16
2090,28.99,29.22,29.20,27.99,28.52,28.44,27.77,28.21,27.99,27.96,27.99,28.48,28.23
2091,29.14,29.40,29.39,28.23,28.70,28.53,27.92,28.36,28.23,28.12,28.23,28.64,28.37
2092,28.96,29.22,29.19,28.05,28.49,28.35,27.76,28.16,28.05,27.96,28.05,28.45,28.19
2093,29.04,29.35,29.35,28.05,28.56,28.31,27.74,28.15,28.05,28.01,28.05,28.47,28.17
2094,29.01,29.24,29.25,28.12,28.60,28.45,27.82,28.26,28.12,28.07,28.12,28.52,28.23
2095,29.03,29.28,29.17,28.09,28.48,28.52,27.85,28.23,28.09,28.05,28.09,28.56,28.30
2096,28.70,28.87,28.88,27.93,28.28,28.26,27.71,28.00,27.93,27.82,27.93,28.33,28.13
2097,28.85,29.03,29.02,28.03,28.36,28.41,27.83,28.15,28.03,28.11,28.03,28.53,28.25
2098,29.04,29.31,29.20,28.13,28.57,28.41,27.83,28.26,28.13,28.09,28.13,28.51,28.21
