Variable:,tas
Country:,Benin
Subnational-unit:,Alibori
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.69,28.20,30.79,32.20,30.37,28.65,26.83,26.37,26.79,28.38,27.35,24.82
1902,24.81,28.05,31.08,32.84,31.11,27.93,26.83,26.47,26.70,27.66,27.35,25.54
1903,25.53,28.37,31.33,32.46,30.98,28.65,26.83,26.38,26.80,28.38,27.35,25.54
1904,25.53,28.37,31.33,32.46,30.98,28.65,26.83,26.38,26.80,28.38,27.35,25.54
1905,24.11,25.12,29.63,32.31,30.81,27.85,26.93,25.59,26.70,28.33,28.48,26.45
1906,24.49,27.42,31.44,34.74,31.14,29.12,26.34,25.51,27.91,28.85,27.76,26.53
1907,25.22,25.90,29.95,31.62,31.79,28.42,27.55,26.03,27.20,30.37,27.55,24.22
1908,25.13,27.19,30.52,32.97,32.19,29.65,27.63,25.71,27.06,28.01,26.45,24.64
1909,25.33,29.47,33.80,32.36,30.48,26.78,25.43,24.21,26.80,26.89,27.65,25.54
1910,23.85,28.49,30.83,31.97,31.20,30.25,27.71,26.62,27.37,28.00,27.33,25.53
1911,24.93,27.63,30.75,32.30,30.33,28.07,26.83,26.16,26.63,28.07,27.31,24.16
1912,25.48,28.07,30.73,33.34,31.02,28.69,27.77,26.83,27.60,28.11,26.21,25.35
1913,25.83,28.21,28.93,31.96,31.65,30.49,28.99,28.47,28.95,28.16,26.36,24.94
1914,28.10,27.67,30.14,31.98,32.50,30.50,28.32,26.29,27.41,28.89,29.14,25.27
1915,24.55,27.58,31.66,31.87,30.88,28.03,26.91,26.32,26.53,27.87,26.92,24.95
1916,24.46,27.14,31.08,31.74,30.38,28.14,26.92,25.79,26.01,27.54,26.18,25.54
1917,25.53,28.37,30.35,31.80,30.16,28.06,26.83,26.38,26.11,27.62,25.88,25.27
1918,25.02,26.77,29.87,31.87,30.36,28.65,26.83,25.54,26.01,28.00,26.83,25.54
1919,25.53,28.37,31.33,32.46,30.98,28.65,26.83,26.38,26.80,28.38,27.35,25.54
1920,25.63,28.37,31.33,32.46,31.30,28.65,26.83,26.38,26.80,28.38,27.35,25.54
1921,25.03,28.37,31.33,32.46,31.48,28.65,26.83,26.38,26.80,28.38,27.35,25.54
1922,25.53,28.37,31.33,32.46,31.08,28.65,26.83,25.60,25.86,27.79,26.86,25.13
1923,26.27,27.73,31.25,31.35,30.73,28.72,26.08,25.42,26.61,28.49,27.64,26.46
1924,25.92,30.15,32.48,32.46,31.39,28.37,26.04,25.43,25.88,28.47,26.95,25.04
1925,22.49,26.97,32.06,32.77,30.78,27.35,26.51,25.77,26.64,27.12,27.50,25.12
1926,25.38,27.75,30.70,31.69,30.40,28.05,26.93,26.84,27.57,28.96,27.86,26.24
1927,24.04,27.96,30.31,32.04,30.87,28.18,26.68,25.12,26.66,28.22,27.39,25.79
1928,24.97,26.99,31.08,31.31,30.79,28.30,27.10,24.83,26.78,28.19,27.28,24.88
1929,24.44,27.37,30.61,31.92,30.85,27.58,26.50,25.19,26.73,27.67,26.83,23.54
1930,25.40,29.92,31.09,32.47,30.60,28.38,26.50,26.08,27.24,28.10,28.52,27.83
1931,26.68,29.05,31.93,33.75,31.40,28.54,27.33,27.03,26.19,28.81,28.46,27.66
1932,25.05,28.33,31.42,33.42,30.93,28.75,26.53,26.38,26.93,28.92,28.70,26.75
1933,26.62,29.40,31.70,32.75,30.30,27.92,26.81,26.02,27.17,27.58,28.17,26.35
1934,25.26,28.09,31.55,33.09,31.76,28.99,27.25,26.28,27.60,29.33,29.46,26.59
1935,26.36,29.48,33.92,33.51,31.75,28.33,27.09,26.08,26.92,28.99,28.50,26.92
1936,25.23,29.49,33.64,32.51,30.90,28.23,25.98,25.10,25.91,28.38,28.53,25.41
1937,25.57,28.87,33.01,33.77,32.34,30.00,27.59,26.67,27.49,30.14,29.53,27.74
1938,27.02,30.37,31.60,34.34,33.32,30.82,27.83,26.50,27.72,30.06,30.44,27.70
1939,26.64,29.15,32.92,31.97,31.48,29.41,27.82,26.68,26.95,29.28,28.83,27.64
1940,25.88,28.37,31.33,32.46,31.24,28.65,26.83,26.38,26.80,28.38,27.35,25.54
1941,26.97,28.08,32.63,33.33,31.76,28.76,27.14,26.90,27.63,29.63,28.86,26.83
1942,25.63,29.46,31.85,32.99,30.82,29.64,27.47,25.88,28.08,29.15,29.01,26.13
1943,25.31,28.11,31.40,31.81,30.42,28.47,26.93,25.82,26.45,28.72,28.49,27.04
1944,24.67,27.83,30.92,32.14,31.60,29.41,27.70,26.30,26.98,29.08,28.25,26.82
1945,26.44,27.30,30.06,31.91,30.80,28.78,27.23,25.53,26.75,28.18,27.71,24.80
1946,26.29,27.35,31.91,32.36,31.45,28.18,26.43,25.24,26.13,27.88,28.04,24.85
1947,25.25,30.89,30.80,32.13,31.75,28.75,27.39,26.31,26.77,28.72,27.34,26.17
1948,24.51,28.24,29.86,31.88,30.96,27.67,26.83,26.05,27.04,28.49,26.85,25.20
1949,25.59,27.41,32.34,32.91,31.23,29.18,27.31,26.11,27.08,29.26,28.69,26.05
1950,25.70,26.82,29.78,31.32,30.92,29.38,26.26,24.86,25.55,27.78,26.94,25.52
1951,26.26,28.70,31.73,32.38,30.63,29.31,26.96,26.60,27.03,28.39,27.18,25.06
1952,26.30,27.84,31.29,32.97,30.98,28.80,26.88,25.82,26.12,28.00,27.22,25.68
1953,26.92,28.75,31.31,32.12,29.74,27.53,26.00,25.93,26.66,28.32,27.68,24.70
1954,25.59,28.54,31.27,32.04,30.12,27.97,25.94,25.17,26.63,27.82,27.89,25.85
1955,25.92,28.10,31.06,31.67,30.53,27.76,26.07,25.79,26.02,27.96,26.78,25.06
1956,25.05,28.87,31.19,32.20,31.21,28.10,25.84,25.49,26.33,27.53,27.71,25.56
1957,24.92,27.13,30.67,31.97,30.14,28.11,26.66,26.02,26.43,28.02,28.25,26.62
1958,26.89,27.35,31.85,32.70,31.07,27.50,26.14,26.04,26.56,28.46,28.73,26.28
1959,26.14,28.61,31.64,32.43,30.99,28.90,27.02,25.59,26.43,28.21,27.66,25.04
1960,25.64,28.30,30.88,31.79,30.91,28.41,26.27,26.50,26.52,28.71,27.05,26.56
1961,25.89,26.70,30.19,31.98,30.85,28.23,26.16,25.58,26.27,28.11,26.75,24.47
1962,24.63,27.51,31.00,31.89,30.60,27.78,26.67,25.70,26.37,27.99,28.35,25.55
1963,26.15,29.97,30.29,31.94,30.19,28.65,26.48,26.16,27.17,28.05,26.62,25.71
1964,26.04,27.87,31.57,32.14,30.64,27.85,26.27,25.47,26.12,27.70,26.92,26.38
1965,26.53,28.41,30.51,31.41,30.79,28.18,26.73,26.11,26.54,28.48,26.58,24.52
1966,25.74,27.38,31.19,32.33,30.76,28.28,27.59,26.42,26.26,28.18,27.54,25.96
1967,24.62,28.52,30.79,32.16,31.08,28.03,26.63,25.84,26.06,27.98,26.99,26.21
1968,24.81,28.66,31.09,31.08,30.22,27.63,26.79,27.11,27.13,28.78,27.54,26.87
1969,25.89,29.46,32.63,32.61,31.62,28.93,26.80,26.25,26.83,28.41,27.10,26.36
1970,26.89,28.52,31.39,33.20,31.18,29.87,26.68,26.06,26.58,28.55,27.08,25.05
1971,24.31,28.55,31.81,32.18,30.53,28.68,26.26,25.08,26.02,27.66,26.89,25.22
1972,25.45,28.74,31.38,31.56,30.25,28.07,27.34,26.76,27.04,28.15,26.36,25.49
1973,26.03,29.19,31.33,33.00,31.60,29.16,27.38,26.44,26.81,28.56,26.66,25.58
1974,24.49,27.54,31.47,32.21,30.54,28.87,26.08,25.92,26.00,27.83,26.46,24.22
1975,23.81,27.54,30.94,32.06,29.78,28.48,25.86,25.74,25.70,27.57,26.95,25.46
1976,24.91,28.50,30.44,31.34,30.05,27.35,26.27,25.73,26.56,26.89,26.74,25.42
1977,26.32,27.62,30.26,32.52,31.00,28.63,26.56,25.83,26.66,27.88,26.69,24.71
1978,25.61,29.12,30.95,31.04,30.02,27.64,25.85,26.15,26.28,28.07,26.68,25.96
1979,26.54,27.74,31.62,32.08,30.21,27.52,26.44,26.66,26.62,28.52,27.67,24.54
1980,27.04,28.72,31.32,32.81,30.79,28.31,26.36,25.99,27.23,28.30,27.36,24.19
1981,24.53,28.76,32.03,32.95,30.58,29.33,26.89,26.81,27.38,29.38,27.15,26.09
1982,25.28,28.15,31.35,32.80,30.91,29.06,27.64,26.57,27.81,28.72,26.88,25.64
1983,23.34,29.42,31.46,33.95,32.14,28.74,27.43,27.02,27.45,29.01,28.09,26.73
1984,25.61,27.89,31.90,32.60,30.91,29.11,28.07,28.04,27.40,28.93,28.44,25.08
1985,27.08,27.74,32.50,32.58,31.86,29.23,26.89,26.81,26.96,29.01,28.28,24.75
1986,25.33,29.64,31.96,33.59,31.72,29.34,26.67,26.74,26.71,28.66,27.31,24.42
1987,26.51,29.16,31.33,33.19,32.03,29.20,28.06,27.17,27.56,28.51,27.85,25.79
1988,25.53,28.54,32.57,32.47,32.02,28.51,26.60,25.76,26.52,28.37,27.56,24.80
1989,23.87,26.60,30.70,32.69,31.48,28.91,26.82,25.99,26.83,27.74,27.59,25.48
1990,26.59,27.62,30.90,32.68,31.03,29.19,26.40,26.93,27.30,28.89,28.55,27.05
1991,26.54,30.10,31.76,32.24,29.66,28.50,26.57,26.01,27.60,27.97,27.26,25.22
1992,24.60,28.07,31.78,32.78,30.38,28.68,26.48,25.91,26.63,28.33,26.62,25.65
1993,24.13,28.63,31.16,33.04,30.59,28.93,26.91,26.54,26.95,28.76,28.72,25.83
1994,25.70,28.30,32.42,32.73,31.04,28.65,26.78,25.86,26.72,27.70,26.88,24.41
1995,24.44,27.40,32.22,32.70,31.33,29.41,27.41,26.52,27.27,28.66,27.35,26.77
1996,27.11,29.57,32.40,32.30,31.27,28.51,27.45,26.37,26.53,28.21,26.71,26.43
1997,27.16,27.21,30.88,32.24,30.12,28.47,27.27,27.14,27.98,29.31,28.56,26.26
1998,26.15,29.87,31.54,34.19,31.83,28.88,27.62,26.36,26.72,28.74,28.39,26.41
1999,26.53,28.29,32.55,32.55,31.41,29.93,26.83,25.97,26.29,27.94,27.95,25.68
2000,27.37,26.44,31.02,33.34,31.97,28.75,26.89,26.31,27.36,28.45,27.86,25.53
2001,25.66,27.53,32.09,33.20,31.78,28.87,27.21,26.52,26.99,29.00,27.91,27.13
2002,25.11,28.09,32.43,33.24,32.09,29.22,27.83,26.97,27.45,27.94,28.22,26.57
2003,26.72,30.20,31.75,32.65,31.68,28.38,27.22,26.55,27.08,29.54,28.60,26.02
2004,26.46,28.80,31.41,32.77,30.71,28.62,26.85,26.88,27.67,29.26,28.54,27.29
2005,25.44,31.18,33.50,33.67,31.28,28.58,27.17,26.57,27.59,28.64,28.47,27.07
2006,27.06,29.79,32.30,33.41,31.07,29.75,27.98,26.58,26.84,29.05,27.22,25.47
2007,25.06,29.08,32.43,33.29,31.63,29.34,27.35,26.41,27.46,29.08,28.84,26.64
2008,23.80,27.91,32.11,32.77,31.09,29.03,26.91,26.53,27.34,28.93,27.95,26.83
2009,26.12,30.50,32.68,32.97,31.73,29.45,27.77,27.11,27.61,29.12,27.82,27.18
2010,27.07,30.20,33.00,33.67,32.12,29.34,27.35,26.74,27.05,28.54,28.73,25.94
2011,25.93,29.83,32.87,33.16,31.99,29.51,27.86,26.90,27.45,28.91,27.91,25.19
2012,25.74,29.48,31.90,33.17,30.95,28.81,26.74,26.41,27.13,28.98,29.10,26.74
2013,26.41,28.52,33.49,32.42,31.39,29.27,27.34,26.31,27.51,28.81,28.77,26.30
2014,27.54,29.10,32.01,33.26,30.90,29.65,28.00,26.62,27.08,29.06,28.95,26.31
2015,25.23,29.72,31.91,32.75,32.72,30.11,27.78,26.67,27.28,29.28,28.34,24.53
2016,26.26,29.02,32.61,33.72,31.88,28.91,27.47,26.98,27.36,29.49,29.05,27.56
2017,26.25,29.16,32.80,33.70,31.57,28.87,27.35,26.84,27.68,29.00,28.32,26.52
2018,26.08,30.27,32.59,33.46,31.72,29.26,27.46,26.74,27.39,28.54,28.56,25.76
2019,26.60,28.37,32.55,32.46,30.98,28.65,27.73,26.87,27.96,28.28,28.72,26.43
2020,26.10,28.96,33.04,33.76,32.13,29.75,27.25,26.48,26.90,28.40,28.10,27.44
2021,27.53,29.01,32.53,33.71,32.31,29.67,27.64,26.62,27.67,29.51,29.08,27.01
